id	title	text
603		"Patient-Led Advocacy Group Shares Patient Perspective
¿Quiénes son los fundadores de la disciplina positiva?  
En 1920, Alfred Adler, médico y psicoterapeuta austríaco, introdujo por primera vez la idea de la educación para madres y padres. Abogó por un trato respetuoso hacia la infancia y también argumentó que los niños y las niñas que no tenían límites o estaban sobre protegidos podrían tener problemas sociales y de comportamiento. Adler y su discípulo Rudolf Dreikurs apostaron por un enfoque amable y firme en la educación y por una crianza basada en el respeto mutuo. A esta nueva manera de entender la educación le llamaron crianza democrática. A finales de los años 30, sus teorías llegaron a los Estados Unidos de la mano de Rudolf Dreikurs.  
En 1988, Jane Nelsen y Lynn Lott, tras un profundo estudio de la psicología adleriana, adaptaron sus conocimientos y crearon lo que hoy en día conocemos como Disciplina Positiva. A partir de ese momento, empezaron a enseñar esta metodología educativa en clases experimentales para madres y padres así como en el aula.  
¿Qué es la disciplina positiva?  
La Disciplina Positiva es un modelo educativo basado en la psicología de Alfred Adler y Rudolf Dreikurs, dos psiquiatras austríacos del siglo XX. Años más tarde, la Dra. Jane Nelsen y Lynn Lott, dos psicólogas americanas, escriben el manual ""Disciplina Positiva. Cómo educar con firmeza y cariño"", en el cual se encargan de sistematizar el modelo y difundirlo. Sin duda, este método, usado por madres y padres, docentes, parejas y líderes empresariales, tiene como objetivo crear relaciones responsables y respetuosas en sus comunidades."
604		"Patient-Led Advocacy Group Shares Patient Perspective
No es ni permisivo ni represivo. Primero se establece una conexión antes de la corrección, porque el objetivo principal es desarrollar el sentido de pertenencia e importancia. No se centra en los castigos, sino en aportar soluciones. El tipo de motivación es intrínseca. Validas sus emociones. Los haces confiar en sus capacidades.  
Hay normas, consecuencias y respeto  
Normas: Debemos enseñarle previamente que significa la norma y para qué hay que aplicarla. El niño se siente involucrado por lo que incrementa su sentido de pertenencia. Si le permito que sea el quien aplique esas normas de forma autónoma, le estoy transmitiendo mi confianza, lo que incrementa su sentido de importancia. Comienza a asumir responsabilidades.  
Respeto: Educar con miedo a un niño no es sinónimo de inculcar respeto y valores, probablemente llegará a la edad adulta y exigirá lo mismo o infundirá temor como lo hicieron con él.  
Consecuencias: Resultado de nuestros actos. Evalúa nuestra conducta. No significa un castigo.  
Autoritarismo = menos respeto para el niño Permisividad = menos respeto para mi. Es equilibrar la balanza entre autoritarismo y permisividad tratar con cariño y dignidad. Para que los limites sean eficaces se necesita: ser firmes y concisos: sin gritos con firmeza y sin entrar en explicaciones. Ser constantes: aunque estés cansado o estresado, los limites deben ser eficaces y claros cada día. Las acciones tienen consecuencias se pierde la credibilidad al no cumplir los límites, no tienen consecuencias. Ser ejemplo: enseñar a través de nuestro comportamiento, ellos no aprenden por lo que decimos, sino por lo que hacemos. Dedicarles el tiempo necesario: cariño y límites deben ir de la mano, jugar con ellos al menos 15 minutos al día."
605		"Patient-Led Advocacy Group Shares Patient Perspective
Tipos de consecuencias:  
Dos tipos de consecuencias las lógicas y naturales. En las lógicas interviene un adulto y en las naturales permite aprender de los errores. Condiciones de las consecuencias lógicas.  
Aquí y ahora, no lo que el niño(a) hizo ayer o la semana pasada. Su aplicación debe hacerse de manera tranquila, respetuosa y sin causar dolor, vergüenza o humillación al niño(a). Revelación anticipada. Es fundamental que en la medida de lo posible, anticipes a tus hijo(a)s las cosas que sucederán cuando se saltan las reglas.  
Estilos educativos:  
Autoritario Negligente Democrático Permisivo  
Diferencia entre motivar y elogiar.  
Motivación es a partir de los 4 años, debido a que existe un nivel de maduración, Existe una conexión, Predica con el ejemplo, Destacar las cualidades del niñx,Hacerle entender el proceso de aprendizaje, El error es una prueba de aprendizaje, la autoestima se desarrolla, reflexiona sobre su comportamiento. Elogiar es controlar. Puede ser positivo como negativo.  
¿Qué hay detrás del mal comportamiento?  
La cima del iceberg, lo que es visible el mal comportamiento y lo no visible que hay detrás de este comportamiento. ¿Por qué no debemos utilizar el muy bien como muletilla?  
Se vuelven adictos a la aprovacion. Actuan movidos por el premio. No permitimos que reflexionen ante sus actos.  
Consecuencias del castigo:"
606		"Patient-Led Advocacy Group Shares Patient Perspective
Se vuelven adictos a la aprovacion. Actuan movidos por el premio. No permitimos que reflexionen ante sus actos.  
Consecuencias del castigo:  
Dificulta la comunicación Deteriora el autoestima Fomenta el conformismo y la agresividad Genera inseguridad Dificulta el autoconocimiento y respeto por uno mismo. Desarrolla comportamientos sumisos y víctimas. El niño o niña actúa por temor a las represalias Las investigaciones en psicología han demostrado que el castigo actúa sobre el comportamiento inmediato pero no modifica la conducta a largo plazo.  
4 rs del castigo: Resentimiento, revancha, rebeldía y retraimiento  
Corregir dando calidez y estructura. La calidez se aprecia con el lado derecho del cerebro, este es el lado del afecto y la estructura con el lado izquierdo, fomentar las normas, escuchar, explicar razones claramente.  
Es mejor conectar con el niño o niña. Primero se validan las emociones Ten en cuenta el contacto físico, tono de voz, expresión facial, empatía, hacer pausas Para buscar soluciones utiliza palabras, planificaciones, explicaciones lógicas  
Comportamientos que como adultos debemos evitar:  
Golpearlo Gritarle Mandarlo a otro lado Criticarlo Decirle que ya no lo quieres Decirle que es un niño malo Amenazarlo Humillarlo  
Chiozza, 1995  
""Lo que se presenta en el cuerpo como un aumento del tejido adiposo, es decir, una alteración somática, es, en el alma, un drama inconsciente"""
607		"Patient-Led Advocacy Group Shares Patient Perspective
Chiozza, 1995  
""Lo que se presenta en el cuerpo como un aumento del tejido adiposo, es decir, una alteración somática, es, en el alma, un drama inconsciente""  
Con motivo del día mundial contra la obesidad que tuvo lugar, el pasado 4 de marzo, y entendiendo que México ocupa el primer lugar a nivel mundial en obesidad infantil y el segundo lugar en población adulta. Psique & Ser se suma a la campaña de concientización bajo el lema: “Cambiando las perspectivas: hablemos sobre la obesidad"".  
Como bien sabemos, la obesidad es una enfermedad crónica que se caracteriza por el aumento de grasa corporal, que es asociada a un riesgo latente para la salud. Además, que la causa principal obedece a un desequilibrio energético entre las calorías que se consumen y las que se gastan. Sin embargo, si alguna vez has intentado bajar de peso, te habrás dado cuenta que para resolver la ecuación y bajar de peso, hay muchas otras variables a despejar. De lo contrario, su tratamiento sería mucho más sencillo.  
En primer lugar, la obesidad está directamente vinculada al acto de comer, y el alimentarnos, va mucho más allá de solo ser un acto. Comer no solo obedece a una necesidad imprescindible para poder sobrevivir, sino que también es un medio que nos convoca al placer y al gozo.  
Y ¿Por qué gozamos cuándo comemos? Porque el acto de comer se inicia en la boca, y la boca es un órgano multitareas: Según Freud en su teoría de desarrollo psicosexual, la boca es una zona erógena. Entonces, la boca no solo da lugar a la digestión, la boca es un órgano que nos permite sentir placer y que, además, interviene en nuestras relaciones amorosas, porque la boca se usa para besar y también se usa para…hablar. Y para lo que se te ocurra; para eso también."
608		"Patient-Led Advocacy Group Shares Patient Perspective
Por otro lado, el comer se abraza con el deseo. Si bien es cierto que todos comemos, no todos comemos lo mismo. Cada uno come lo que le gusta, comemos lo que se nos antoja y no necesariamente lo que nos nutre. ¿Te suena?  
Y si le seguimos, te tengo otra noticia: La comida nunca es solo comida, es también un vehículo por el cual cuando éramos muy pequeños, fuimos dotados de nuestra primera despensa afectiva. Como recién nacidos, al ser amamantados, más que nutrientes, obtenemos sensaciones de sentirnos amados, cuidados y protegidos (en el mejor de los casos). Esa despensa de afectos, aquel acercamiento, dejará una huella como sello personal que nos acompañará toda la vida y fundará nuestra relación con la comida. Posteriormente, utilizaremos la comida no solo para cubrir una necesidad biológica sino para evocar nuestros deseos vitales, deseos que se inscriben en nuestro mundo interno, en nuestro psiquismo, en nuestra subjetividad. Alimentarnos entonces, será una forma de saciar y paliar nuestras necesidades psíquicas más profundas, en una suerte de compensar, con falta o con excesos de comida.  
Entonces, si toda la cuestión para bajar de peso se sostuviera en solo saber cómo, cuánto, qué comer y qué no comer. Sería mucho más fácil y nadie tendría obesidad. Sin embargo, la obesidad es una enfermedad multifactorial, compleja, que se anuda y se desanuda como un tejido entre la alimentación y los afectos. Entre lo psíquico y lo somático. Por ende, su abordaje implica un seguimiento multidisciplinario."
609		"Patient-Led Advocacy Group Shares Patient Perspective
La amistad es un valor universal sin el cual una persona difícilmente podrá sobrevivir. El adolescente, necesita a alguien de su misma edad para compartir la pesada carga de todas las dudas que le surgen constantemente. Ha de ser alguien que él vea como un igual, con sus mismos problemas e inquietudes.  
La amistad es más intensa en la adolescencia que en otra época de la vida. En la adolescencia, los amigos son más íntimos y se apoyan más que a edades anteriores; también exigen una mayor lealtad, compiten menos entre sí y comparten más con sus amigos que los niños. Estos cambios se deben en parte a su mayor desarrollo cognitivo.  
El amor es uno de los sentimiento más universales y permanentes en el ser humano. Está presente en todas las edades, razas, culturas y países. Con este descubrimos el amor incondicional de la familia y poco a poco vamos sintiendo y experimentando otros tipos de amor a lo largo de la vida. La adolescencia tiene un papel muy importante en el amor, ya que es cuando hace presencia, por primera vez, el sentimiento hacia otra persona de manera más intensa como pareja.  
Las hormonas, que tanta revolución y conflicto provocan en esta edad, a nivel conductual, van a hacer sentir las primeras mariposas en el estómago a nivel emocional, es decir empiezan a descubrir su primer enamoramiento que no es lo mismo que el amor.  
El enamoramiento es la primera etapa del amor. Es muy intenso y pasional.  
Tanto es así que, en el momento que se vive, parece que nunca va a poder acabar. Pero es una etapa que acabará con el amor o el desamor. No se puede estar eternamente viviendo en la fase del enamoramiento, sino que cuando este enamoramiento se va estabilizando y madurando acaba cogiendo una forma más serena y duradera convirtiéndose en Amor."
610		"Patient-Led Advocacy Group Shares Patient Perspective
En la etapa de la adolescencia es cuando se empieza a experimentar el enamoramiento y es más difícil que llegue a convertirse en un amor verdadero. Se suelen vivir muchos enamoramientos en breves espacios de tiempo, incluso varios enamoramientos a la vez.  
Nova Argentina 1960.  
""..el hombre (5) “Privado de su anclaje trascendente inventará la religión, la filosofía, la política, con el objeto de recuperar la seguridad perdida. Gusdorf, George. “Mito y Metafísica""  
Cuántas veces no hemos escuchado o aplicado la frase “Año nuevo, vida nueva”. Y es que dicha frase, y muchas otras, devienen de nuestra naturaleza humana, ya que tendemos a plantearnos ciclos en las actividades o rutinas que establecemos. Y cómo no hacerlo si estamos inmersos en un ciclo de vida que tiene un principio y un final. Para muchos, los ciclos fungen como un corte proveniente del interior que nos orilla a detener, pensar y tomar decisiones para mejorar o perfeccionar nuestra estabilidad y actuar en un futuro. Para otros, es un corte externo-obligado con la intención de encontrar elementos ajenos a uno que nos ayuden a asegurar que las decisiones fueron acertadas o fortuitas. Podemos resumir esto como: personas que crean y forjan su propio año, y personas que depositan en elementos o rituales externos sus acciones venideras. Se plasma en dos polos para que el tema de los rituales de inicio de año y sus efectos en nuestra psique tenga un mayor impacto y sea más didáctico. No con esto eximo que existan sujetos que oscilan entre ambas o más posturas."
611		"Patient-Led Advocacy Group Shares Patient Perspective
Para poder abordar este tema tan interesante, haremos uso del interaccionismo simbólico; corriente sociológica que centra su interés en el mundo cotidiano de significados, ya que actuamos sobre estas bases para darle un sentido a los objetos y situaciones que nos rodean, y a las que nos exponemos constantemente. A partir de estos significados de las cosas, deriva o surge la interacción social. Sin interacción no puede haber vida social, por ende es el proceso que nos va a posibilitar construir significados sobre el mundo exterior.  
Con base en este postulado, podemos entender que los rituales de inicio de año como actos que tienen una connotación de significados subjetivos, cada uno le da un valor o representación que nos permiten aligerar la angustia de dejar en manos de “la vida, divinidad o elemento totémico”, la responsabilidad de nuestra propia existencia y lo inesperado del año entrante.  
Para poder continuar, pensemos en los rituales de inicio de año más habituales en la población mexicana:  
Comer 12 uvas en la campanada de Año Nuevo, cada uva representa un propósito a cumplir o un deseo. La noche de Año Nuevo se utiliza ropa interior de un color específico. Los más comunes son amarillo = dinero, rojo = amor y blanco = paz. Salir con una maleta a dar la vuelta para atraer viajes. Aventar lentejas para la abundancia. Prender veladoras para atraer la fortuna. Hacer aseo para sacar las malas vibras. Aventar cubetas de agua para limpiar las vibras. Meterse debajo de la mesa para conseguir pareja.  
Los rituales entonces, son estrategias simbólicas que nos ayudan a regularnos como personas, familias y culturas; ya que nos cohesionan para solucionar problemas. De igual modo, a reforzar el sentido de existencia y a entender la relación que tenemos no solo con nosotros mismos, sino también con nuestros pares y con el mundo externo en el que interactuamos."
612		"Patient-Led Advocacy Group Shares Patient Perspective
Con lo dicho hasta ahora, nada tiene que ver la hipótesis de si los rituales son buenos o malos para nuestra Psique. El tema de hoy no viene a destruir los rituales, sino a conocer los efectos que tiene en nuestra mente, y cómo estos tienen un rol importante y subjetivo en nuestras vidas.  
Los rituales de inicio de año nos ayudan a querer anticiparnos, a atraer y a tratar de darle un significado a todo aquello desconocido que conlleva el cambio lógico temporal. Si nos hemos percatado, una palabra que ha estado presente con lo que estamos hablando hoy, es la “atracción”. La RAE define atracción como aquella fuerza o capacidad para atraer. Esto hace sentido, ya que hoy en día, y de manera simplista, la psicología está asociada a vibraciones, atracciones y energías. Es por esto que el tema que estamos analizando tiene mucha fuerza, debido a que socialmente los rituales se ven como energías que nos ayuden a que lo incomprensible e incognoscible pueda ser tramitado y esto genera tranquilidad.Sin embargo, la psicología no va en ese sentido, no es algo mágico, y los rituales no deben cubrir en su totalidad la responsabilidad y el cuidado que debemos tener con nuestra salud mental.  
¿Debo tener rituales de inicio de año en mi vida?"
613		"Patient-Led Advocacy Group Shares Patient Perspective
¿Debo tener rituales de inicio de año en mi vida?  
La respuesta a esta pregunta podría estar orientada al sí, ya que es parte inherente a la cultura y al ser humano. Promueve valores, interacciones, empatía, reconocimiento del otro, y en muchos casos convivencia. Los rituales cumplen con brindar un espacio de seguridad y crear defensas que refuerzan el equilibrio psíquico, que sea capaz de protegernos frente a amenazas tanto externas como internas que nos lleven a la desorganización, confusión o angustia y que nos lleven a una inestabilidad máxima. Pero como todo sí, debe existir un límite, y este radica en que el sujeto no puede depositar su existencia en un rito por el riesgo latente que se presenta. El dejar mi responsabilidad de autocuidado a un elemento externo, me separa de lo que me corresponde a mí hacer e instalarme en vivir en un pensamiento mágico que todos los rituales me van a salvaguardar o a traer mejores resultados sin tener que involucrarme por ello. Incluso llevado a un polo radical, podríamos hablar de una conducta obsesiva compulsiva, o bien de un delirio que más que aligerar la angustia, detonará e impactará en mi salud mental.  
Para responder a este cuestionamiento común en los pacientes, es importante que sepas que en Psique & Ser nos alineamos a la idea plasmada por Gustav Jung que dice  
Nova Argentina 1960.  
""Conozca todas las teorías. Domine todas las técnicas, pero al tocar un alma humana sea apenas otra alma humana"""
614		"Patient-Led Advocacy Group Shares Patient Perspective
Nova Argentina 1960.  
""Conozca todas las teorías. Domine todas las técnicas, pero al tocar un alma humana sea apenas otra alma humana""  
Con base en esto, queremos puntualizar que más allá del enfoque clínico que practica cada uno de nuestros psicólogos, sabemos que trabajamos con seres pensantes, que sienten y tienen una intersubjetividad que debe ser tratada caso por caso. Explicaremos los 3 cortes clínicos más comunes en la práctica clínica y que se empalman con los enfoques que manejamos en Psique & Ser.  
Trataremos de ser lo más específico posible para poder aclarar sus dudas respecto al iniciar un proceso terapéutico y qué método será el más efectivo para abordar mi motivo de consulta.  
Terapia Cognitivo-Conductual.  
Principales autores: La terapia cognitivo conductual se desprende del pensamiento de Aaron Beck y Albert Ellis. Este último, desarrolló la Terapia Racional Emotiva Conductual que está asociada al abordaje clínico del modelo cognitivo conductual.  
Características y métodos: Su tratamiento se centra en el análisis de los procesos cognitivos desadaptados y en la facilitación de experiencias de aprendizaje que pueden modificar las cogniciones y patrones de conducta. Examina tanto la respuesta emocional como la conducta. Es posible cambiar el modo de pensar modificando la conducta y a la inversa. Las personas a lo largo de su desarrollo van formando pensamientos irracionales y desadaptativos que impactan en sus emociones y su actuar. Su método está orientado a una observación directa de la conducta, elaboración de registros, exposición de sus pensamientos y técnica de ratificación."
615		"Patient-Led Advocacy Group Shares Patient Perspective
Edad y duración: La terapia cognitivo conductual abarca desde la infancia hasta la adultez tardía. Su duración del tratamiento va en función a la problemática manifestada, pero por lo general oscila entre 6 meses y 1 año, con una constancia de una vez a la semana y con una duración aproximada de 60 minutos por sesión.  
Psicoterapia psicoanalítica  
Principales autores: El psicoanálisis, o igual conocida como la psicología profunda, surge a partir del pensar y la práctica clínica de Sigmund Freud en el Siglo XIX.  
Características y métodos: El psicoanálisis escinde al sujeto en tres instancias: yo, ello y superyó. A partir de ello busca evaluar el estado del yo, sus mecanismos de defensa y la adaptación de lo anterior a un mundo interno y externo. Considera que hay factores intrapsíquicos que son la causa de la conducta manifiesta, motivos, deseos y conflictos. Explora los procesos y contenidos inconscientes, mismos que salen de nuestro control y nuestra consciencia. Su tratamiento está orientado en pruebas proyectivas, interpretación de los sueños, catarsis y la asociación libre. Esta última es la técnica más importante del psicoanálisis, ya que se piensa que el inconsciente se manifiesta por medio de la palabra.  
Edad y duración: El psicoanálisis puede abordar al sujeto desde la infancia hasta la adultez tardía. Por lo general, un tratamiento psicoanalítico oscila entre 1 y 3 años con una constancia de al menos 1 vez a la semana con una duración de 50 minutos por sesión. Todo esto va en función de la problemática abordada.  
Humanismo"
616		"Patient-Led Advocacy Group Shares Patient Perspective
Humanismo  
Principales autores: El pensar humanista surge a partir de los postulados por Abraham Maslow y Carl Rogers. Es común ubicar el humanismo a partir de la pirámide de Maslow, quién da valor a priorizar una serie de necesidades que están intrínsecas en nuestro desarrollo para poder llegar a un proceso de autorrealización.  
Características y métodos: La perspectiva humanista ubica al sujeto como seres con experiencias subjetivas, que van construyendo significados de las experiencias de vida y se centra en la comprensión de la persona más que en su conducta. Es un modelo que se centra en la persona para lograr un mejor ajuste personal. Ubica al sujeto en el aquí y el ahora. Evalúa no lo que la persona es, sino que tiene un potencial para llegar a ser “ser”. Se interesa por lo que el sujeto piensa de su entorno y cómo se adapta. Su técnica está enfocada en entrevistas abiertas, análisis del contenido de su discurso, escalas de estimación y técnicas de clasificación.  
Edad y duración: Esta perspectiva está más orientada a adolescentes y adultos. Por lo general, su tratamiento oscila entre 6 meses y 1 año con una constancia de 1 vez a la semana. Con una duración aproximada de 60 minutos por sesión. Todo esto va en función de la problemática abordada.  
Consideraciones generales.  
Es importante subrayar que en Psique & Ser abordamos los motivos de consulta desde una línea multidisciplinaria. ¿Qué quiere decir esto? Nos referimos a que durante tu proceso mantenemos una visión holística y de ser necesario direccionar con otros especialistas que favorezcan en el desarrollo y la salud mental de los pacientes. Una intervención multidisciplinaria involucra psiquiatras, médicos, médicos especialistas, neurólogos, nutriólogos, etc.…siempre y cuando el caso lo requiera."
617		"Patient-Led Advocacy Group Shares Patient Perspective
Recuerda que iniciar un proceso para el cuidado de tu salud mental no es magia, no elimina la sintomatología en una sola sesión. Es común que al terminar tu primera sesión sientas una mejora, sin embargo, es conocida como una “falsa mejora” porque la catarsis solo alivia el pesar, pero no lo quita. Al pensarlo como un proceso, es porque dentro del mismo habrá avances, pero también retrocesos.  
¿Qué es mejor, afrontar el estrés o manejar el estrés? ¿Por qué no se habla de extinguir el estrés?  
En la bibliografía actual nos vamos a encontrar con la terminología ""manejo del estrés"", si profundizamos en ella nos dan un recorrido desde dónde y por qué surge el estrés en nuestro interior. De igual modo, las consecuencias que este conlleva en nuestra salud física y mental. Y de estar tan presente en nuestras vidas, existen altas probabilidades de terminar afectando más áreas de nuestras vidas (social, familiar, de pareja, escolar, profesional, etc.).  
Si continuamos revisando la literatura, vamos a llegar al punto que detona interés en todos nosotros. ¿Qué hacer para manejar mi estrés? pero lamento defraudarlos, en este escrito no brindaré estrategias para manejarlo, porque si me permiten voy a señalar algo que ha estado presente en estos dos cuestionamientos. Me refiero a que pareciera que es nuestra culpa que el estrés exista dentro de mí, y peor aún, que esté rebasando los límites humanamente soportables."
618		"Patient-Led Advocacy Group Shares Patient Perspective
La realidad no es así, la investigación del estrés surge a partir de la época de la industrialización. Desde que al sujeto se le sometió a una serie de empleos absorbentes, demandantes y voraces, con horarios extendedidos y que, en ocasiones, sobrepasan las condiciones humanas para poder tolerar tal carga. Es bien sabido que los puestos de un trabajo moderno tienden a normalizar que te quedes más tarde de tu horario laboral porque se evalúa como disponibilidad. También, te piden el tener que cubrir más funciones de las establecidas en tu puesto porque es parte de tu productividad. Una visión tan perversa porque juega con toda la estructura de vida de las personas. En caso de no hacerlo, sabes cuál es tu consecuencia...un muy posible despido. Pero si lo haces, la recompensa no es para nada clara, e incluso se olvidan de ella.  
Desde esta óptica podemos entender porque hoy en día se hace referencia a un ""manejo"" del estrés. Si lo leemos entre líneas pareciera que es algo que se detonó para quedarse, y que lo que se nos pide es saber cómo adaptarnos a ello sin dejar de ser sujetos funcionales para un ambiente laboral y social. Es como si fuésemos responsables de algo que en realidad no lo somos.  
No por nada, países de primer mundo comienzan a modificar las estructuras y condiciones laborales. Empleando el home office, reducción de horas laborales, modalidad flexible e híbrida de acudir o no a tu centro de trabajo, entre otras. Porque saben que el estrés que viven sus empleados, surge no por una respuesta meramente natural, sino emerge a partir de una condición externa que rebasa nuestros recursos de ""manejo"" y nos exige un afrontamiento. Hablar de afrontamiento del estrés, es hablar desde otro lugar."
619		"Patient-Led Advocacy Group Shares Patient Perspective
Según la Real Academia, afrontar es hacer cara a un peligro, problema o situación comprometida. Mientras que manejar la define como moverse con cierta soltura después de haber tenido un impedimento.  
Partiendo de esto, podemos darnos cuenta que las definiciones tienen connotaciones muy distintas. Mientras que la segunda busca que el sujeto actúe ante algo que ya lo padece; la primera busca anteponer nuestros recursos ante una sensación psicofísica displacentera para darle una solución definitiva. El manejo suena más bien a que será algo inherente y que cada vez que se presente, tendrás que utilizar hasta la última técnica para poder silenciarlo y que este no irrumpa en tus actividades.  
Lastimosamente no podemos hablar de extinción del estrés porque irónicamente, este tiene una funcionalidad dentro de nuestro sistema. Las investigaciones lo definen como ""eustrés"", cuya importancia radica en movilizar al sujeto de una situación adversa o displacentera. Por ejemplo, ante un sismo, un examen, una actividad que demanda de nuestras capacidades. Sus reacciones son las ya conocidas (ansiedad, sudoración, aceleración en la respiración, etc. Sin embargo, se presentan a un nivel tolerable que permite al sujeto ser consciente de su sentir y pensar para actuar de una forma asertiva y adaptativa. El estrés termina siendo funcional.  
No así cuando el estrés es catalogado como ""distres"". Este hace que el sujeto pierda sus recursos, se deje influenciar por su sentir físico y emocional y maximice las situaciones externas que están desembocando sus sensaciones. Termina por ser un estrés poco funcional que, de tener una continuidad se puede convertir en agudo o crónico."
620		"Patient-Led Advocacy Group Shares Patient Perspective
Si nos percatamos, no estamos hablando el día de hoy de un tema sencillo de tener que solamente""manejar"". Incluso desde una visión clínica, sería negligente y no podemos dejar que un sujeto con estrés crónico se haga responsable y utilice todas las técnicas posibles para manejarlo. No estoy demeritando esa labor, pero en un punto crítico no es suficiente. Sin embargo, si lo factores estresantes no tienen una reestructuración, el sujeto no podrá tener una sencilla reinserción.  
¿Entonces qué hacer ante este problema de salud física y emocional? Lo primero es no normalizarla, no verlo como algo natural porque eso hará que el umbral del estrés cada vez sea mayor. Mi cuerpo y mis emociones cada vez van a soportar más y más hasta terminar en un punto crónico y agudo.  
Lo segundo es detenerte pero no para distraerte, sino para escucharte a ti mismo. ¿Cómo está tu cuerpo? ¿Qué necesitas? ¿Cuáles son tus límites? Esta pausa es para que te conozcas y establezcas tus límites. Sepas cuál es tu línea que no debes sobrepasar porque muy probablemente se te saldrá de tu control si esto sucede.  
Y por último, es trabajar en tí mismo para que tus recursos personales sean cada vez más conocidos y fuertes. Esto te permitirá afrontar cualquier eventualidad displacentera desde un lugar más consciente y menos desbordante dentro de ti.  
A pesar de vivir en una época pandémica, previo a esto, la sociedad comenzaba a tener tintes de ser un ámbito demandante y consumidor de nuestros tiempos. Gran parte de nuestras actividades están orientadas al cumplimiento y resolución de las exigencias exteriores, dejando totalmente de lado todo aquello que es placentero para nosotros."
621		"Patient-Led Advocacy Group Shares Patient Perspective
Quizá en un inicio no exista la sensación de insatisfacción con el cumplimiento de actividades meramente profesionales o académicas, pero al ser una constante la sensación surgirá debido a que solo estamos viviendo y realizando actividades poco placenteras y que, muchas veces, tienen una lógica de imposición no de elección propia.  
Deténganse un momento y piensen en un espacio escolar. Nuestro Sistema Educativo está diseñado para cursar una gran tira de materias que posiblemente no todas sean de nuestro interés. En el trabajo, aun estando en un ámbito profesional genuinamente decidido, tendremos que realizar actividades que no se alinean a nuestros deseos. Y así, entrando en la monotonía, no nos percataremos en qué momento mis tiempos están cargados de demandas externas.  
Todo lo comentado anteriormente tiene una finalidad, y no es la de ""justificar"" la existencia de la procastinación en el sujeto; sino la de denotar que dicho hábito busca cualquier excusa para existir y tener una razón de ser.  
La palabra procastinación proviene del latín /procastinare/, cuyo significado hace referencia a postergar hasta mañana.  
Dicha etimología hace alusión a que el sujeto tiene un control sobre su propia procastinación, sin embargo no siempre es así. Sabemos que existe la procastinación porque vemos el acto de aplazar las actividades, pero difícilmente nos ponemos a pensar en el trasfondo de su existencia.  
El acto de procastinar no solo se víncula a cuestiones actitudinales o apáticas del sujeto. Casi siempre se vincula a temas emocionales que terminan siendo puntos ciegos para las personas que lo presentan. Comúnmente el estrés es un factor detonante de la procastinación: muchos proyectos, carga excesiva de trabajo, etc. Pero más habitual es la renuncia a hacer una actividad que va a confrontarme, y que muy probablemente va a remover temas emocionales dentro de mí."
622		"Patient-Led Advocacy Group Shares Patient Perspective
Un ejemplo de lo anterior sería el postergar actividades vinculadas a un proyecto de emprendimiento por temor al fracaso. Se evade porque el fracaso removerá y traerá a la conciencia del sujeto las críticas y la violencia verbal que recibió de su padre a lo largo de su adolescencia.  
La procastinación se está convirtiendo en una era porque, hoy en día, los sujetos están más enfocados a cubrir las demandas externas, que a detenerse y reflexionar sobre qué temas están vinculados emocionalmente y me están impidiendo el poder llevar al acto todo aquello que me propongo o que debo realizar. Aunado a esto, la estadística marca que empieza a ser más común en los adolescentes y adultos, lo cual puede generar que lo normalicemos y solamente aprendamos a vivir con ello.  
Más que brindarles una serie de tips o estrategias para evitar que la procastinación este presente en nuestras vidas, les queremos recordar la importancia de no solo estar a merced de todo lo que el mundo exterior nos demande; sino también, de tener momentos y espacios para uno mismo que nos ayuden a escuchar las exigencias que viven en mí, que me movilizan y determinan mi actuar.  
Mark Twain.  
""Cuando te encuentres a ti mismo al lado de la mayoría, es tiempo de parar y reflexionar."""
623		"Patient-Led Advocacy Group Shares Patient Perspective
Mark Twain.  
""Cuando te encuentres a ti mismo al lado de la mayoría, es tiempo de parar y reflexionar.""  
No se puede hablar de un concepto sin la presencia del otro. De hecho, uno no tiene validez sin la existencia de su contraparte. Por supuesto que socialmente tiene una mejor mirada el éxito que el fracaso. Pero cuántas veces no hemos escuchado o visto documentales de personajes históricos, o grandes empresarios que se construyeron a partir del fracaso. Y es que el fracaso tiene tintes de debilidad, fragilidad y puede ser el reflejo de la poca estructuración del sujeto para afrontar elementos y exigencias del mundo exterior. Sin embargo, desde la mirada individual, el fracaso puede tener una serie de connotaciones que dependerá justo de la individualidad y subjetividad del sujeto.  
Una posible mirada puede ser un fracaso del cual voy a generar una reconstrucción e integración de mí mismo y poder trasladarlo hacia el mundo exterior. Otra tendría relación con la imposibilidad, la desestructuración que se vincula con todos aquellos aspectos negativos que, vistos desde la sociedad, construyen la palabra fracaso. Arraigándose a aspectos emocionales, psicológicos, físicos, culturales, económicos y sociales que harán que el sujeto se vea así mismo como alguien inútil, perdido y sin un conocimiento integral interno y externo.  
Lo irónico en esto, es que ambas palabras no solo tienen la interpretación individual, también tienen una mirada enjuiciante de la sociedad. De hecho, los estándares sociales están por encima de lo subjetivo. El dejar que lo anterior crezca, va a generar que nuestro éxito-fracaso este definido por otro, más que por mí mismo; lo cual hace que el concepto interno de éxito este definido por aspectos materiales, bienes o cuestiones económicas, ya que esas son imágenes que socialmente definen la posición y el valor que tenemos ante una cultura."
